Phone,Phone
Firstname,Firstname
Lastname,Lastname
"Invoice Address","Invoice Address"
Postcode,Postcode
"Invoice City",City
Email,Email
Male,Male
Female,Female
"Payment Method","Payment Method"
Invoice,Invoice
"Subscribe to Newsletter","Subscribe to Newsletter"
Terms,Terms
"Privacy Policy","Privacy Policy"
"I agree to the %1 and have read the %2","I agree to the %1 and have read the %2"
"Buy Now!","Buy Now!"
"<?php echo $block->getTitle(); ?>","<?php echo $block->getTitle(); ?>"
Close,Close
Prymag,Prymag
"Purchase Form","Purchase Form"
Defaults,Defaults
"Merchant Key","Merchant Key"
"POST URL","POST URL"
"Campaign Code","Campaign Code"
"Campaign ID","Campaign ID"
"Entry ID","Entry ID"
"Seller Code","Seller Code"
"Country Code","Country Code"
"Block for Terms Content","Block for Terms Content"
"Block for Privacy Policy Content","Block for Privacy Policy Content"
Analytics,Analytics
"Tracking Code","Tracking Code"
"Tracking Name","Tracking Name"
"Background Image","Background Image"
"Block for Terms content","Block for Terms content"
"Select Block...","Select Block..."
"Block for Policy content","Block for Policy content"
