Phone,Telefon
Firstname,Fornavn
Lastname,Etternavn
"Invoice Address","Adresse, kun Norge"
Postcode,Postnr
"Invoice City",Poststed
Email,Epost
Male,Mann
Female,Kvinne
"Payment Method","Velg betalingmåte"
Invoice,Invoice
"Subscribe to Newsletter","Jeg vil ha nyhetsbrev"
Terms,vilkårene
"Privacy Policy","personvern"
"I agree to the %1 and have read the %2","Jeg er enig i %1 og har lest %2"
"Buy Now!","Kjøp nå!",
"Order via SMS","Bestill via SMS",
"Print Body","Skrit"
Close,Close
Prymag,Prymag
"Purchase Form","Purchase Form"
Defaults,Defaults
"Merchant Key","Merchant Key"
"POST URL","POST URL"
"Campaign Code","Campaign Code"
"Campaign ID","Campaign ID"
"Entry ID","Entry ID"
"Seller Code","Seller Code"
"Country Code","Country Code"
"Block for Terms Content","Block for Terms Content"
"Block for Privacy Policy Content","Block for Privacy Policy Content"
Analytics,Analytics
"Tracking Code","Tracking Code"
"Tracking Name","Tracking Name"
"Background Image","Background Image"
"Block for Terms content","Block for Terms content"
"Select Block...","Select Block..."
"Block for Policy content","Block for Policy content"
